Target ISOs: 3403
Filter: count < 50
Allow fillers: false

iso | premixCount | grade
kzq | 12 | kzq_unq1,kzq_unq2,kzq_unq3,kzq_unq4,kzq_unq5
lauhut | 12 | lauhut_unq1,lauhut_unq2,lauhut_unq3,lauhut_unq4,lauhut_unq5
lif | 12 | lif_unq1,lif_unq2,lif_unq3,lif_unq4,lif_unq5
lrr | 12 | lrr_unq1,lrr_unq2,lrr_unq3,lrr_unq4,lrr_unq5
mator | 12 | mator_unq1,mator_unq2,mator_unq3,mator_unq4,mator_unq5
mijiic | 12 | mijiic_unq1,mijiic_unq2,mijiic_unq3,mijiic_unq4,mijiic_unq5
min-zhuang | 12 | min-zhuang_unq1,min-zhuang_unq2,min-zhuang_unq3,min-zhuang_unq4,min-zhuang_unq5
mobilian-jargon | 12 | mobilian-jargon_unq1,mobilian-jargon_unq2,mobilian-jargon_unq3,mobilian-jargon_unq4,mobilian-jargon_unq5
mohawk | 12 | mohawk_unq1,mohawk_unq2,mohawk_unq3,mohawk_unq4,mohawk_unq5
mtp | 12 | mtp_unq1,mtp_unq2,mtp_unq3,mtp_unq4,mtp_unq5
ncd | 12 | ncd_unq1,ncd_unq2,ncd_unq3,ncd_unq4,ncd_unq5
nenets | 12 | nenets_unq1,nenets_unq2,nenets_unq3,nenets_unq4,nenets_unq5
newar | 12 | newar_unq1,newar_unq2,newar_unq3,newar_unq4,newar_unq5
nganasan | 12 | nganasan_unq1,nganasan_unq2,nganasan_unq3,nganasan_unq4,nganasan_unq5
nmm | 12 | nmm_unq1,nmm_unq2,nmm_unq3,nmm_unq4,nmm_unq5
nones | 12 | nones_unq1,nones_unq2,nones_unq3,nones_unq4,nones_unq5
nong-zhuang | 12 | nong-zhuang_unq1,nong-zhuang_unq2,nong-zhuang_unq3,nong-zhuang_unq4,nong-zhuang_unq5
npa | 12 | npa_unq1,npa_unq2,npa_unq3,npa_unq4,npa_unq5
nuoxi-naxi-yao | 12 | nuoxi-naxi-yao_unq1,nuoxi-naxi-yao_unq2,nuoxi-naxi-yao_unq3,nuoxi-naxi-yao_unq4,nuoxi-naxi-yao_unq5
occitan | 12 | occitan_unq1,occitan_unq2,occitan_unq3,occitan_unq4,occitan_unq5
ojibwe | 12 | ojibwe_unq1,ojibwe_unq2,ojibwe_unq3,ojibwe_unq4,ojibwe_unq5
one | 12 | one_unq1,one_unq2,one_unq3,one_unq4,one_unq5
ono | 12 | ono_unq1,ono_unq2,ono_unq3,ono_unq4,ono_unq5
palauan | 12 | palauan_unq1,palauan_unq2,palauan_unq3,palauan_unq4,palauan_unq5
pashto | 12 | pashto_unq1,pashto_unq2,pashto_unq3,pashto_unq4,pashto_unq5
pidgin-delaware | 12 | pidgin-delaware_unq1,pidgin-delaware_unq2,pidgin-delaware_unq3,pidgin-delaware_unq4,pidgin-delaware_unq5
pst | 12 | pst_unq1,pst_unq2,pst_unq3,pst_unq4,pst_unq5
pum | 12 | pum_unq1,pum_unq2,pum_unq3,pum_unq4,pum_unq5
qanjobal | 12 | qanjobal_unq1,qanjobal_unq2,qanjobal_unq3,qanjobal_unq4,qanjobal_unq5
raa | 12 | raa_unq1,raa_unq2,raa_unq3,raa_unq4,raa_unq5
raq | 12 | raq_unq1,raq_unq2,raq_unq3,raq_unq4,raq_unq5
rav | 12 | rav_unq1,rav_unq2,rav_unq3,rav_unq4,rav_unq5
rejang | 12 | rejang_unq1,rejang_unq2,rejang_unq3,rejang_unq4,rejang_unq5
romansh | 12 | romansh_unq1,romansh_unq2,romansh_unq3,romansh_unq4,romansh_unq5
salar | 12 | salar_unq1,salar_unq2,salar_unq3,salar_unq4,salar_unq5
sardinian | 12 | sardinian_unq1,sardinian_unq2,sardinian_unq3,sardinian_unq4,sardinian_unq5
see | 12 | see_unq1,see_unq2,see_unq3,see_unq4,see_unq5
shoksha | 12 | shoksha_unq1,shoksha_unq2,shoksha_unq3,shoksha_unq4,shoksha_unq5
sicilian | 12 | sicilian_unq1,sicilian_unq2,sicilian_unq3,sicilian_unq4,sicilian_unq5
surmiran | 12 | surmiran_unq1,surmiran_unq2,surmiran_unq3,surmiran_unq4,surmiran_unq5
susu | 12 | susu_unq1,susu_unq2,susu_unq3,susu_unq4,susu_unq5
suz | 12 | suz_unq1,suz_unq2,suz_unq3,suz_unq4,suz_unq5
tagoi | 12 | tagoi_unq1,tagoi_unq2,tagoi_unq3,tagoi_unq4,tagoi_unq5
tai-long | 12 | tai-long_unq1,tai-long_unq2,tai-long_unq3,tai-long_unq4,tai-long_unq5
tajik | 12 | tajik_unq1,tajik_unq2,tajik_unq3,tajik_unq4,tajik_unq5
tamil | 12 | tamil_unq1,tamil_unq2,tamil_unq3,tamil_unq4,tamil_unq5
tatar | 12 | tatar_unq1,tatar_unq2,tatar_unq3,tatar_unq4,tatar_unq5
tdh | 12 | tdh_unq1,tdh_unq2,tdh_unq3,tdh_unq4,tdh_unq5
tongzha | 12 | tongzha_unq1,tongzha_unq2,tongzha_unq3,tongzha_unq4,tongzha_unq5
tpx | 12 | tpx_unq1,tpx_unq2,tpx_unq3,tpx_unq4,tpx_unq5
tus | 12 | tus_unq1,tus_unq2,tus_unq3,tus_unq4,tus_unq5
tuvan | 12 | tuvan_unq1,tuvan_unq2,tuvan_unq3,tuvan_unq4,tuvan_unq5
uduk | 12 | uduk_unq1,uduk_unq2,uduk_unq3,uduk_unq4,uduk_unq5
uyghur | 12 | uyghur_unq1,uyghur_unq2,uyghur_unq3,uyghur_unq4,uyghur_unq5
uzbek | 12 | uzbek_unq1,uzbek_unq2,uzbek_unq3,uzbek_unq4,uzbek_unq5
vandu | 12 | vandu_unq1,vandu_unq2,vandu_unq3,vandu_unq4,vandu_unq5
vay | 12 | vay_unq1,vay_unq2,vay_unq3,vay_unq4,vay_unq5
wali-sudan | 12 | wali-sudan_unq1,wali-sudan_unq2,wali-sudan_unq3,wali-sudan_unq4,wali-sudan_unq5
