iso	name	region	category	family	tags	tags_catalog	tags_auto	has_catalog_wikipedia_url	in_catalog	in_mixer_map	mixer_ready	bases	base_count	has_invalid_bases	invalid_bases	has_unique_base	base_set_key	base_set_cluster_size	wiki_lists	wiki_lists_direct	wiki_lists_inferred	wiki_inferred_by	wiki_titles	wiki_sources	wiki_names	wiki_items_count
yiwom-language	Yiwom language	Africa	Afroasiatic	Chadic	hyphen		hyphen	false	true	true	true	132	1	false		false	132	121	tools/mixer-meta/wikipedia-languages-of-africa-full.json;tools/mixer-meta/wikipedia-languages-of-africa-major.json		tools/mixer-meta/wikipedia-languages-of-africa-full.json;tools/mixer-meta/wikipedia-languages-of-africa-major.json	region:Africa	Wikipedia: Languages of Africa – full table snapshot;Wikipedia: Languages of Africa – major languages subset	https://en.wikipedia.org/wiki/Languages_of_Africa;https://en.wikipedia.org/wiki/Languages_of_Africa		0
yl-satakunta	Ylä-Satakunta	Eurasia	Uralic	Western Dialects	hyphen;non_latin;space		hyphen;non_latin;space	false	true	true	true	9,274,283,427	4	false		false	9,274,283,427	2	tools/mixer-meta/wikipedia-uralic-languages-full.json		tools/mixer-meta/wikipedia-uralic-languages-full.json	category:Uralic	Wikipedia: List of Uralic languages – full family list	https://en.wikipedia.org/wiki/List_of_Uralic_languages		0
yobe	Yobe	Africa	Niger-Congo	Niger-Congo	hyphen		hyphen	false	true	true	true	132,145,378	3	false		false	132,145,378	1	tools/mixer-meta/wikipedia-languages-of-africa-full.json;tools/mixer-meta/wikipedia-languages-of-africa-major.json	tools/mixer-meta/wikipedia-languages-of-africa-full.json	tools/mixer-meta/wikipedia-languages-of-africa-major.json	region:Africa	Wikipedia: Languages of Africa – full table snapshot;Wikipedia: Languages of Africa – major languages subset	https://en.wikipedia.org/wiki/Languages_of_Africa;https://en.wikipedia.org/wiki/Languages_of_Africa	Yobe	1
yogo-tamagario	Yogo (Tamagario)	Pacific	Papuan	Kayagaric	hyphen;space		hyphen;space	false	true	true	true	193,195,263,371	4	false		false	193,195,263,371	1	tools/mixer-meta/wikipedia-languages-of-oceania.json		tools/mixer-meta/wikipedia-languages-of-oceania.json	category:Papuan;region:Pacific	Wikipedia: Languages of Oceania – Papuan & Pacific subset	https://en.wikipedia.org/wiki/Languages_of_Oceania		0
yokohama-pidgin-japanese	Yokohama Pidgin Japanese	Misc	Pidgin	Pidgin	pidgin	pidgin		false	true	true	true	12	1	false		false	12	9								0
yonaguni	Yonaguni	Asia	Japonic	Yaeyama Ryukyuan				false	true	true	true	10,11,12	3	false		false	10,11,12	7	tools/mixer-meta/wikipedia-languages-of-asia-official-languages.json;tools/mixer-meta/wikipedia-languages-of-south-asia.json;tools/mixer-meta/wikipedia-languages-of-southeast-asia.json;tools/mixer-meta/wikipedia-languages-of-west-asia.json		tools/mixer-meta/wikipedia-languages-of-asia-official-languages.json;tools/mixer-meta/wikipedia-languages-of-south-asia.json;tools/mixer-meta/wikipedia-languages-of-southeast-asia.json;tools/mixer-meta/wikipedia-languages-of-west-asia.json	region:Asia	Wikipedia: Languages of Asia – official languages table;Wikipedia: Languages of South Asia – regional subset;Wikipedia: Languages of Southeast Asia – regional subset;Wikipedia: Languages of West Asia – regional subset	https://en.wikipedia.org/wiki/Languages_of_Asia;https://en.wikipedia.org/wiki/Languages_of_South_Asia;https://en.wikipedia.org/wiki/Languages_of_Southeast_Asia;https://en.wikipedia.org/wiki/West_Asia		0
yong	Yong	Asia	Tai-Kadai	Tai-Kadai	apostrophe;space		apostrophe;space	false	true	true	true	252,317,318,530,533	5	false		false	252,317,318,530,533	2	tools/mixer-meta/wikipedia-languages-of-asia-official-languages.json;tools/mixer-meta/wikipedia-languages-of-south-asia.json;tools/mixer-meta/wikipedia-languages-of-southeast-asia.json;tools/mixer-meta/wikipedia-languages-of-west-asia.json		tools/mixer-meta/wikipedia-languages-of-asia-official-languages.json;tools/mixer-meta/wikipedia-languages-of-south-asia.json;tools/mixer-meta/wikipedia-languages-of-southeast-asia.json;tools/mixer-meta/wikipedia-languages-of-west-asia.json	region:Asia	Wikipedia: Languages of Asia – official languages table;Wikipedia: Languages of South Asia – regional subset;Wikipedia: Languages of Southeast Asia – regional subset;Wikipedia: Languages of West Asia – regional subset	https://en.wikipedia.org/wiki/Languages_of_Asia;https://en.wikipedia.org/wiki/Languages_of_South_Asia;https://en.wikipedia.org/wiki/Languages_of_Southeast_Asia;https://en.wikipedia.org/wiki/West_Asia		0
yonggom	Yonggom	Pacific	Papuan	Ok–Oksapmin	space		space	false	true	true	true	194,198,263,366	4	false		false	194,198,263,366	1	tools/mixer-meta/wikipedia-languages-of-oceania.json		tools/mixer-meta/wikipedia-languages-of-oceania.json	category:Papuan;region:Pacific	Wikipedia: Languages of Oceania – Papuan & Pacific subset	https://en.wikipedia.org/wiki/Languages_of_Oceania		0
yor	Yoruba	Africa	Niger-Congo	Yoruboid	hyphen		hyphen	true	true	true	true	112	1	false		false	112	1	tools/mixer-meta/wikipedia-languages-of-africa-full.json;tools/mixer-meta/wikipedia-languages-of-africa-major.json;tools/mixer-meta/wikipedia-list-languages-by-native-speakers.json;tools/mixer-meta/wikipedia-list-lingua-francas-full.json	tools/mixer-meta/wikipedia-languages-of-africa-full.json;tools/mixer-meta/wikipedia-languages-of-africa-major.json;tools/mixer-meta/wikipedia-list-languages-by-native-speakers.json;tools/mixer-meta/wikipedia-list-lingua-francas-full.json		region:Africa	Wikipedia: Languages of Africa – full table snapshot;Wikipedia: Languages of Africa – major languages subset;Wikipedia: List of languages by number of native speakers (seed subset);Wikipedia: List of lingua francas – full article list	https://en.wikipedia.org/wiki/Languages_of_Africa;https://en.wikipedia.org/wiki/Languages_of_Africa;https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers;https://en.wikipedia.org/wiki/List_of_lingua_francas	Yoruba	4
yoron	Yoron	Asia	Japonic	Amami Ryukyuan				false	true	true	true	10,11,12	3	false		false	10,11,12	7	tools/mixer-meta/wikipedia-languages-of-asia-official-languages.json;tools/mixer-meta/wikipedia-languages-of-south-asia.json;tools/mixer-meta/wikipedia-languages-of-southeast-asia.json;tools/mixer-meta/wikipedia-languages-of-west-asia.json		tools/mixer-meta/wikipedia-languages-of-asia-official-languages.json;tools/mixer-meta/wikipedia-languages-of-south-asia.json;tools/mixer-meta/wikipedia-languages-of-southeast-asia.json;tools/mixer-meta/wikipedia-languages-of-west-asia.json	region:Asia	Wikipedia: Languages of Asia – official languages table;Wikipedia: Languages of South Asia – regional subset;Wikipedia: Languages of Southeast Asia – regional subset;Wikipedia: Languages of West Asia – regional subset	https://en.wikipedia.org/wiki/Languages_of_Asia;https://en.wikipedia.org/wiki/Languages_of_South_Asia;https://en.wikipedia.org/wiki/Languages_of_Southeast_Asia;https://en.wikipedia.org/wiki/West_Asia		0
yoruba	Yoruba alt code	Africa	Niger-Congo	Yoruboid	diacritics;hyphen		diacritics;hyphen	true	true	true	true	112,114,132,277	4	false		false	112,114,132,277	1	tools/mixer-meta/wikipedia-languages-of-africa-full.json;tools/mixer-meta/wikipedia-languages-of-africa-major.json		tools/mixer-meta/wikipedia-languages-of-africa-full.json;tools/mixer-meta/wikipedia-languages-of-africa-major.json	region:Africa	Wikipedia: Languages of Africa – full table snapshot;Wikipedia: Languages of Africa – major languages subset	https://en.wikipedia.org/wiki/Languages_of_Africa;https://en.wikipedia.org/wiki/Languages_of_Africa		0
yoshkar-olin	Yoshkar-Olin	Eurasia	Uralic	Meadow Mari	hyphen;non_latin;space		hyphen;non_latin;space	false	true	true	true	9,283,320,427	4	false		false	9,283,320,427	2	tools/mixer-meta/wikipedia-uralic-languages-full.json	tools/mixer-meta/wikipedia-uralic-languages-full.json		category:Uralic	Wikipedia: List of Uralic languages – full family list	https://en.wikipedia.org/wiki/List_of_Uralic_languages	Yoshkar-Olin	1
younian	Younian	East Asia	Mixed	Hmong-Mien	apostrophe		apostrophe	false	true	true	true	11,67	2	false		false	11,67	2								0
younuo	Younuo	East Asia	Hmong-Mien	Sheic				false	true	true	true	11,69,70	3	false		false	11,69,70	2								0
