i|name|filename|seedCount|d|m|min|max|region|family|seeds25|reviewed
268|Algerian Saharan Arabic|namebases-asia.js|9|lnrt|0|4|11|Middle East|Maghrebi|NO|NO
270|Burmish|namebases-asia.js|10|s|0|4|11|Sino-Tibetan region|Burmish|NO|NO
271|Burmo Qiangic|namebases-asia.js|10|lnrt|0|4|11|Sino-Tibetan region|Sino-Tibetan|NO|NO
272|Caijia|namebases-asia.js|10|s|0|4|11|Sino-Tibetan region|Sino-Tibetan|NO|NO
273|Chepang|namebases-asia.js|10|lnrt|0|4|11|Asia|Chepangic|NO|NO
275|Chambri|namebases-oceania.js|9|rs|0|5|10|||NO|NO
276|Iatm|namebases-oceania.js|10|lnrt|0|5|10|||NO|NO
279|Macro-Yaeyama|namebases-asia.js|8|lnrt|0|4|11|Asia|Southern Ryukyuan|NO|NO
280|Miyakoan|namebases-asia.js|9|lnrt|0|4|11|Asia|Southern Ryukyuan|NO|NO
281|Southern Amami|namebases-asia.js|10|lnrt|0|4|11|Asia|Amami Ryukyuan|NO|NO
282|Okinoerabu|namebases-asia.js|9|lnrt|0|4|11|Asia|Amami Ryukyuan|NO|NO
283|Tokunoshima|namebases-asia.js|9|lnrt|0|4|11|Asia|Amami Ryukyuan|NO|NO
284|Aragonese|namebases-europe.js|10|lr|0|4|11|Europe|Aragonese|NO|NO
285|Central Aragonese|namebases-europe.js|10|lr|0|4|11|Europe|Aragonese|NO|NO
286|Castilian|namebases-europe.js|10|lnrt|0|4|11|||NO|NO
287|Castelmezzano|namebases-europe.js|9|cltr|0|4|11|Europe|Neapolitan|NO|NO
288|Central Italian|namebases-europe.js|10|lnrt|0|4|11|Europe|Central Italian|NO|NO
289|Central Marchigiano|namebases-europe.js|10|lnrt|0|4|11|Europe|Central Italian|NO|NO
290|Central Metafonetica|namebases-europe.js|10|cltr|0|4|11|Europe|Sicilian|NO|NO
291|Central-Southern Calabrian|namebases-europe.js|10|lnrt|0|4|11|Europe|Calabrian|NO|NO
293|Amami|namebases-asia.js|8|lnrt|0|4|11|Asia|Northern Ryukyuan|NO|NO
294|Kikai|namebases-asia.js|9|lnrt|0|4|11|Asia|Amami Ryukyuan|NO|NO
295|Kunigami|namebases-asia.js|10|lnrt|0|4|11|Asia|Northern Ryukyuan|NO|NO
296|Okinawan|namebases-asia.js|10|lnrt|0|4|11|Asia|Okinawan Ryukyuan|NO|NO
297|Butler English|namebases-europe.js|10|lnrt|0|4|11|Misc|English-based|NO|NO
300|Abaza|namebases-asia.js|10|lnrt|0|4|11|Caucasus|Northwest Caucasian|NO|NO
301|Hawaiian|namebases-oceania.js|9|elm|0|10|30|Pacific|Polynesian|NO|NO
303|Bzyb|namebases-asia.js|8|lnrt|0|4|11|Caucasus|Northwest Caucasian|NO|NO
304|Aghul|namebases-asia.js|9|lnrt|0|4|11|Caucasus|Northeast Caucasian|NO|NO
305|Anindilyakwa|namebases-oceania.js|6|el|0|10|20|Australia|Australian Aboriginal|NO|NO
306|Gunwinggu|namebases-oceania.js|10|lnrt|0|10|25|||NO|NO
307|West African English Creole|namebases-africa.js|8|lnrt|0|4|12|||NO|NO
308|Anatolian Arabic|namebases-asia.js|8|lnrt|0|4|11|Middle East|Mesopotamian|NO|NO
310|Baghdadi Arabic|namebases-asia.js|9|lnrt|0|4|11|Middle East|Mesopotamian|NO|NO
311|Bahraini Gulf Arabic|namebases-asia.js|10|lnrt|0|4|11|Middle East|Peninsular|NO|NO
312|Harari-Argobba|namebases-africa.js|10|lnrt|0|4|12|||NO|NO
313|Bukharian Arabic|namebases-asia.js|9|lnrt|0|4|11|Middle East|Central Asian|NO|NO
314|Cairene Arabic|namebases-asia.js|10|lnrt|0|4|11|Middle East|Egypto-Sudanic|NO|NO
315|Central Asian Arabic|namebases-asia.js|10|lnrt|0|4|11|Middle East|Central Asian|NO|NO
316|Ainu|namebases-asia.js|15|lnrt|0|4|11|Asia|Japonic|NO|NO
317|Hachijo|namebases-asia.js|8|lnrt|0|4|11|Asia|Japanese dialects|NO|NO
318|Japanese dialects|namebases-asia.js|10|lnrt|0|4|11|||NO|NO
319|Pohnpeian|namebases-oceania.js|8|lnrt|0|10|20|||NO|NO
320|Japanese macro|namebases-asia.js|10|lnrt|0|4|11|||NO|NO
321|Ryukyuan|namebases-asia.js|9|ktps|0|4|11|Asia|Ryukyuan|NO|NO
322|Egyptian Arabic|namebases-asia.js|9|ae|0|4|11|Middle East|Egyptian Arabic|NO|NO
323|Angevin|namebases-europe.js|9|nlrs|0|4|11|Europe|Oïl Dialects|NO|NO
324|Burgundian|namebases-europe.js|10|nlrs|0|4|11|Europe|Oïl Dialects|NO|NO
325|Champenois|namebases-europe.js|9|nlrs|0|4|11|Europe|Oïl Dialects|NO|NO
326|Poitevin|namebases-europe.js|9|nlrs|0|4|11|Europe|Oïl Dialects|NO|NO
327|Saintongeais|namebases-europe.js|10|nlrs|0|4|11|Europe|Oïl Dialects|NO|NO
328|Aas-whistled|namebases-europe.js|10|lnrt|0|4|11|||NO|NO
329|Aranese|namebases-europe.js|9|lnrt|0|4|11|Europe|Gascon Occitan|NO|NO
330|B-arnese|namebases-europe.js|9|lnrt|0|4|11|||NO|NO
331|Abruzzese|namebases-europe.js|10|cltr|0|4|11|Europe|Neapolitan|NO|NO
332|Arianese|namebases-europe.js|9|cltr|0|4|11|Europe|Neapolitan|NO|NO
333|Barese|namebases-europe.js|10|cltr|0|4|11|Europe|Neapolitan|NO|NO
334|Basilicatine|namebases-europe.js|10|cltr|0|4|11|Europe|Neapolitan|NO|NO
335|Benevento|namebases-europe.js|8|cltr|0|4|11|Europe|Neapolitan|NO|NO
336|Cilentan|namebases-europe.js|10|cltr|0|4|11|Europe|Neapolitan|NO|NO
337|Cosentino|namebases-europe.js|10|cltr|0|4|11|Europe|Neapolitan|NO|NO
338|Irpino|namebases-europe.js|9|cltr|0|4|11|Europe|Neapolitan|NO|NO
340|Bundjalung|namebases-oceania.js|9|lnrt|0|4|12|Australia|Australian Aboriginal|NO|NO
341|Northern Calabrian|namebases-europe.js|8|cltr|0|4|11|Europe|Neapolitan|NO|NO
