i,name,file,seeds,d,m,min,max,region,family,reviewed
254,Yilan Creole Japanese,namebases-asia.js,41,eo,0,4,11,Misc,Japanese-based,[ ]
255,Yokohama Pidgin Japanese,namebases-asia.js,41,eo,0,4,11,Misc,Pidgin,[ ]
257,Norman,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
258,Cauchois,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
259,Augeron,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
260,Cotentinais,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
261,Auregnais,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
262,Guernésiais,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
263,Jèrriais,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
264,Jersey Legal French,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
265,Adeni Arabic,namebases-asia.js,41,bns,0,4,11,Middle East,Peninsular,[ ]
266,Aleppine Arabic,namebases-asia.js,41,bns,0,4,11,Middle East,Levantine,[ ]
267,Algerian Arabic,namebases-asia.js,41,bns,0,4,11,Middle East,Maghrebi,[ ]
268,Algerian Saharan Arabic,namebases-asia.js,41,bns,0,4,11,Middle East,Maghrebi,[ ]
270,Burmish,namebases-asia.js,41,s,0,4,11,Sino-Tibetan region,Burmish,[ ]
271,Burmo Qiangic,namebases-asia.js,41,,0,4,11,Sino-Tibetan region,Sino-Tibetan,[ ]
272,Caijia,namebases-asia.js,41,s,0,4,11,Sino-Tibetan region,Sino-Tibetan,[ ]
273,Chepang,namebases-asia.js,41,lnrt,0,4,11,Asia,Chepangic,[ ]
275,Chambri,namebases-oceania.js,36,rs,0,5,10,None,None,[ ]
276,Iatm,namebases-oceania.js,36,lnrt,0,5,10,None,None,[ ]
279,Macro-Yaeyama,namebases-asia.js,41,eo,0,4,11,Asia,Southern Ryukyuan,[ ]
280,Miyakoan,namebases-asia.js,41,eo,0,4,11,Asia,Southern Ryukyuan,[ ]
281,Southern Amami,namebases-asia.js,41,eo,0,4,11,Asia,Amami Ryukyuan,[ ]
282,Okinoerabu,namebases-asia.js,41,eo,0,4,11,Asia,Amami Ryukyuan,[ ]
283,Tokunoshima,namebases-asia.js,41,eo,0,4,11,Asia,Amami Ryukyuan,[ ]
284,Aragonese,namebases-europe.js,50,lr,0,4,11,Europe,Aragonese,[ ]
285,Central Aragonese,namebases-europe.js,50,lr,0,4,11,Europe,Aragonese,[ ]
286,Castilian,namebases-europe.js,50,lnrt,0,4,11,None,None,[ ]
287,Castelmezzano,namebases-europe.js,50,cltr,0,4,11,Europe,Neapolitan,[ ]
288,Central Italian,namebases-europe.js,50,cltr,0,4,11,Europe,Central Italian,[ ]
289,Central Marchigiano,namebases-europe.js,50,cltr,0,4,11,Europe,Central Italian,[ ]
290,Central Metafonetica,namebases-europe.js,50,cltr,0,4,11,Europe,Sicilian,[ ]
291,Central-Southern Calabrian,namebases-europe.js,50,lnrt,0,4,11,Europe,Calabrian,[ ]
293,Amami,namebases-asia.js,41,eo,0,4,11,Asia,Northern Ryukyuan,[ ]
294,Kikai,namebases-asia.js,41,eo,0,4,11,Asia,Amami Ryukyuan,[ ]
