score	kind	iso	name	family	category	lexifier	base	baseName	baseTopFamily	baseTopShare	baseTotal
29.000	base_family_outlier	bembe-congo	Bembe Congo	Bantu	Niger-Congo		153	Kongo	Niger-Congo	0.7073170731707317	41
29.000	base_family_outlier	cibak-language	Cibak language	Chadic	Afroasiatic		153	Kongo	Niger-Congo	0.7073170731707317	41
29.000	base_family_outlier	fut	Fut	Grassfields Bantoid	Niger-Congo		153	Kongo	Niger-Congo	0.7073170731707317	41
29.000	base_family_outlier	kituba	Kituba	Kongo-based	Creole	Kongo	153	Kongo	Niger-Congo	0.7073170731707317	41
29.000	base_family_outlier	kongo	Kongo	Bantu	Niger-Congo		153	Kongo	Niger-Congo	0.7073170731707317	41
29.000	base_family_outlier	lozi	Lozi	Bantu	Niger-Congo		153	Kongo	Niger-Congo	0.7073170731707317	41
29.000	base_family_outlier	palenquero	Palenquero	Spanish-based	Creole	Spanish	153	Kongo	Niger-Congo	0.7073170731707317	41
29.000	base_family_outlier	west-banda	West Banda	Ubangian	Ubangian		153	Kongo	Niger-Congo	0.7073170731707317	41
27.000	base_family_outlier	annobonese-creole	Annobonese Creole	Portuguese-based	Creole	Portuguese	148	Shona	Niger-Congo	0.7714285714285715	35
27.000	base_family_outlier	bozo	Bozo	Mande	Niger-Congo		148	Shona	Niger-Congo	0.7714285714285715	35
27.000	base_family_outlier	dendi	Dendi	Nilo-Saharan	Nilo-Saharan		148	Shona	Niger-Congo	0.7714285714285715	35
27.000	base_family_outlier	dinka	Dinka	Nilotic	Nilo-Saharan		148	Shona	Niger-Congo	0.7714285714285715	35
27.000	base_family_outlier	furu	Furu	Nilo-Saharan	Nilo-Saharan		148	Shona	Niger-Congo	0.7714285714285715	35
27.000	base_family_outlier	gvr	Gurung	Gurungic	Sino-Tibetan		56	Kiranti	Kiranti	0.84375	32
27.000	base_family_outlier	kgg	Kusunda	Kusunda	Kusunda isolate		56	Kiranti	Kiranti	0.84375	32
27.000	base_family_outlier	kiranti	Kiranti	Sino-Tibetan	Sino-Tibetan		56	Kiranti	Kiranti	0.84375	32
27.000	base_family_outlier	mahakiranti	Mahakiranti	Sino-Tibetan	Sino-Tibetan		56	Kiranti	Kiranti	0.84375	32
27.000	base_family_outlier	ola	Walungge	Tibetic	Sino-Tibetan		56	Kiranti	Kiranti	0.84375	32
27.000	base_family_outlier	pretoria-sotho	Pretoria Sotho	Sotho-Tswana-based	Creole	Sotho-Tswana	148	Shona	Niger-Congo	0.7714285714285715	35
27.000	base_family_outlier	shona	Shona	Bantu	Niger-Congo		148	Shona	Niger-Congo	0.7714285714285715	35
27.000	base_family_outlier	yangere	Yangere	Ubangian	Ubangian		148	Shona	Niger-Congo	0.7714285714285715	35
25.000	base_family_outlier	chiang-saen	Chiang Saen	Tai	Tai-Kadai		532	Shan	Tai-Kadai	0.7575757575757576	33
25.000	base_family_outlier	hagei	Hagei	Kra	Tai-Kadai		532	Shan	Tai-Kadai	0.7575757575757576	33
25.000	base_family_outlier	kam-dong	Kam Dong	Kam-Sui	Tai-Kadai		532	Shan	Tai-Kadai	0.7575757575757576	33
25.000	base_family_outlier	lachi	Lachi	Kra	Tai-Kadai		532	Shan	Tai-Kadai	0.7575757575757576	33
25.000	base_family_outlier	mulao-kra	Mulao Kra	Kra	Tai-Kadai		532	Shan	Tai-Kadai	0.7575757575757576	33
25.000	base_family_outlier	proto-kra-dai	Proto-KraDai	Kra-Dai	Tai-Kadai		532	Shan	Tai-Kadai	0.7575757575757576	33
25.000	base_family_outlier	proto-tai	Proto-Tai	Tai	Tai-Kadai		532	Shan	Tai-Kadai	0.7575757575757576	33
25.000	base_family_outlier	vandu	Vandu	Kra	Tai-Kadai		532	Shan	Tai-Kadai	0.7575757575757576	33
24.000	base_family_outlier	adjaran-georgian	Adjaran Georgian	Georgian dialects	Kartvelian		223	Georgian	Northeast Caucasian	0.7058823529411765	34
24.000	base_family_outlier	georgian	Georgian	Kartvelian	Kartvelian		223	Georgian	Northeast Caucasian	0.7058823529411765	34
24.000	base_family_outlier	judaeo-georgian	Judaeo-Georgian	Kartvelian	Kartvelian		223	Georgian	Northeast Caucasian	0.7058823529411765	34
24.000	base_family_outlier	kabardian	Kabardian	Northwest Caucasian	Northwest Caucasian		223	Georgian	Northeast Caucasian	0.7058823529411765	34
24.000	base_family_outlier	laz	Laz	Kartvelian	Kartvelian		223	Georgian	Northeast Caucasian	0.7058823529411765	34
24.000	base_family_outlier	mingrelian	Mingrelian	Kartvelian	Kartvelian		223	Georgian	Northeast Caucasian	0.7058823529411765	34
24.000	base_family_outlier	old-georgian	Old Georgian	Kartvelian	Kartvelian		223	Georgian	Northeast Caucasian	0.7058823529411765	34
24.000	base_family_outlier	proto-georgian-zan	Proto-GeorgianΓÇôZan	Proto-GeorgianΓÇôZan	Kartvelian		223	Georgian	Northeast Caucasian	0.7058823529411765	34
24.000	base_family_outlier	proto-kartvelian	Proto-Kartvelian	Proto-Kartvelian	Kartvelian		223	Georgian	Northeast Caucasian	0.7058823529411765	34
24.000	base_family_outlier	svan	Svan	Kartvelian	Kartvelian		223	Georgian	Northeast Caucasian	0.7058823529411765	34
22.000	base_family_outlier	asoa	Asoa	Nilo-Saharan	Nilo-Saharan		150	Xhosa	Niger-Congo	0.8148148148148148	27
22.000	base_family_outlier	beli	Beli	Nilo-Saharan	Nilo-Saharan		150	Xhosa	Niger-Congo	0.8148148148148148	27
22.000	base_family_outlier	bozo	Bozo	Mande	Niger-Congo		150	Xhosa	Niger-Congo	0.8148148148148148	27
22.000	base_family_outlier	daza	Daza	Saharan	Nilo-Saharan		150	Xhosa	Niger-Congo	0.8148148148148148	27
22.000	base_family_outlier	xhosa	Xhosa	Bantu	Niger-Congo		150	Xhosa	Niger-Congo	0.8148148148148148	27
21.000	base_family_outlier	dongo	Dongo	Nilo-Saharan	Nilo-Saharan		147	Kinyarwanda	Niger-Congo	0.8076923076923077	26
21.000	base_family_outlier	fur	Fur	Nilo-Saharan	Nilo-Saharan		147	Kinyarwanda	Niger-Congo	0.8076923076923077	26
21.000	base_family_outlier	kinyarwanda	Kinyarwanda	Bantu	Niger-Congo		147	Kinyarwanda	Niger-Congo	0.8076923076923077	26
21.000	base_family_outlier	kirundi	Kirundi	Bantu	Niger-Congo		147	Kinyarwanda	Niger-Congo	0.8076923076923077	26
21.000	base_family_outlier	tarifit	Tarifit	Berber	Afroasiatic		147	Kinyarwanda	Niger-Congo	0.8076923076923077	26
19.000	base_family_outlier	lss	Lasi	Iranian	Iranian		289	Sindhi	Indo-Aryan	0.76	25
19.000	base_family_outlier	mtr	Mewari	Rajasthani	Indo-Aryan		289	Sindhi	Indo-Aryan	0.76	25
19.000	base_family_outlier	mvy	Indus Kohistani	Dardic	Indo-Aryan		289	Sindhi	Indo-Aryan	0.76	25
19.000	base_family_outlier	phl	Palula	Dardic	Indo-Aryan		289	Sindhi	Indo-Aryan	0.76	25
19.000	base_family_outlier	rajasthani	Rajasthani	Rajasthani	Indo-Aryan		289	Sindhi	Indo-Aryan	0.76	25
19.000	base_family_outlier	santiago-creole	Santiago Creole	Portuguese-based	Creole	Portuguese	308	Caribbean English Creole	English-based	0.95	20
19.000	base_family_outlier	wry	Marwari	Rajasthani	Indo-Aryan		289	Sindhi	Indo-Aryan	0.76	25
17.000	base_family_outlier	boga-language	Boga language	Chadic	Afroasiatic		156	Kikuyu	Niger-Congo	0.7391304347826086	23
17.000	base_family_outlier	bongo	Bongo	Central Sudanic	Nilo-Saharan		156	Kikuyu	Niger-Congo	0.7391304347826086	23
17.000	base_family_outlier	cochin-portuguese-creole	Cochin Portuguese Creole	Portuguese-based	Creole	Portuguese	255	Malayalam	South Dravidian	0.9444444444444444	18
17.000	base_family_outlier	dongo	Dongo	Nilo-Saharan	Nilo-Saharan		156	Kikuyu	Niger-Congo	0.7391304347826086	23
17.000	base_family_outlier	fongoro	Fongoro	Nilo-Saharan	Nilo-Saharan		156	Kikuyu	Niger-Congo	0.7391304347826086	23
17.000	base_family_outlier	ngambay	Ngambay	Central Sudanic	Nilo-Saharan		156	Kikuyu	Niger-Congo	0.7391304347826086	23
17.000	base_family_outlier	sar	Sar	Central Sudanic	Nilo-Saharan		156	Kikuyu	Niger-Congo	0.7391304347826086	23
16.000	base_family_outlier	aringa	Aringa	Nilo-Saharan	Nilo-Saharan		118	Mandinka	Niger-Congo	0.8	20
16.000	base_family_outlier	canadian-french	Canadian French	Canadian	Romance		254	Kannada	South Dravidian	0.8888888888888888	18
16.000	base_family_outlier	chenchu	Chenchu	South-Central Dravidian	Dravidian		254	Kannada	South Dravidian	0.8888888888888888	18
16.000	base_family_outlier	manding	Manding	Mande	Niger-Congo		118	Mandinka	Niger-Congo	0.8	20
16.000	base_family_outlier	mandinka	Mandinka	Mande	Niger-Congo		118	Mandinka	Niger-Congo	0.8	20
16.000	base_family_outlier	sar	Sar	Central Sudanic	Nilo-Saharan		118	Mandinka	Niger-Congo	0.8	20
15.000	base_family_outlier	maori	M─üori	Polynesian	Austronesian		196	Maori	Austronesian	0.7142857142857143	21
15.000	base_family_outlier	maori-ascii	Maori	Polynesian	Polynesian		196	Maori	Austronesian	0.7142857142857143	21
15.000	base_family_outlier	new-zealand-pidgin-english	New Zealand Pidgin English	English-based	Pidgin	English	196	Maori	Austronesian	0.7142857142857143	21
15.000	base_family_outlier	pitcairn-norfolk	Pitcairn-Norfolk	English-based	Creole	English	196	Maori	Austronesian	0.7142857142857143	21
15.000	base_family_outlier	piv	Vaeakau-Taumako	Polynesian	Polynesian		196	Maori	Austronesian	0.7142857142857143	21
15.000	base_family_outlier	tiwi	Tiwi	Australian Aboriginal	Australian Aboriginal		196	Maori	Austronesian	0.7142857142857143	21
14.000	base_family_outlier	boazi	Boazi	Anim	Papuan		520	North New Guinea	Southeast Papuan	0.7	20
14.000	base_family_outlier	boazi-lake-murray	Boazi Lake Murray	Anim	Papuan		520	North New Guinea	Southeast Papuan	0.7	20
14.000	base_family_outlier	buk	Bukawa	Austronesian	Austronesian		520	North New Guinea	Southeast Papuan	0.7	20
